ID,target
000137c73,5341860.273374219
00021489f,5189147.093747689
0004d7953,6265416.297335776
00056a333,8037313.481823456
00056d8eb,5189147.093747689
0005fc190,5050965.835096832
000787e86,5189147.093747689
0008510a0,5189147.093747689
000895faf,5189147.093747689
000986fba,5727792.9516036585
0009efcc5,5038208.79566377
000dd8f00,5189147.093747689
000e1cdc2,5205683.255169955
00103739c,5189147.093747689
00134b367,5189147.093747689
001788d0d,5111041.767497122
0019c8ad7,6345892.101863637
001a267b9,5221387.642608151
001a85486,5201852.675402945
001c4de06,6336608.677241125
001f9014b,5189147.093747689
00216fb94,5327611.737508316
00235690e,5189147.093747689
00240739d,5591704.759321428
0024c3747,5189147.093747689
00297052d,5250777.36460156
002ab8f85,5189147.093747689
002bed5c0,5580250.017690246
002bf3974,10765060.131187635
002d23a26,5164836.307254833
002f27de9,5189147.093747689
0030d8bb4,5232890.838507409
003146acd,5189147.093747689
003223263,4849323.875265983
00335575e,6971102.400132274
00337cf9d,7185828.210823371
003394397,5189147.093747689
0036358a3,5189147.093747689
003770d30,5364457.239060562
003bed5ea,5189147.093747689
003ea6427,8335237.695500951
003ef8132,5585283.370255465
003fd1723,5313769.501985226
0041861b4,4339115.6516768215
0042b718b,5174358.906611945
004381d8f,7070962.946752468
0043ca764,5189147.093747689
004486837,5324987.221894869
0045c123e,6304079.5189999705
0048915c6,5189147.093747689
004ab9a09,5126507.566535253
004b2e1c9,9323421.995896766
004c54732,3811409.7658979944
004cdefce,5189147.093747689
004dd971b,7129624.088825386
004f9329b,5189147.093747689
004fd2bca,4507455.188009412
0054bfedb,4684727.497831748
0054ec58a,4327183.271720692
00551f45d,9336862.124525612
005777b4c,6101155.9946270175
00578d6ea,5189147.093747689
005802488,5943935.926522632
0059833b6,5840349.42134631
005a70085,5932691.223536422
005b148a0,5189147.093747689
005c28df4,5447674.532466185
005f8dc26,5507392.296784349
00603c202,6865706.1043903455
006049609,5189147.093747689
00612f47e,5189147.093747689
00647a57f,5189147.093747689
0065853ee,5189147.093747689
006589d5e,5189147.093747689
006598823,5115601.585746942
0065c093c,5150382.731148871
006738351,5557199.335228373
006a0c6a8,4986464.632828872
006e9efe6,5356860.688051314
006f029d3,5189147.093747689
0070f35a2,5217858.041457976
007135f85,5189147.093747689
007285433,7674154.265453448
00735e101,4765314.763246192
0074ecf4e,5189147.093747689
007635fa9,5310041.457544763
007723613,5698426.051664662
007867da9,5189147.093747689
0078bfbd6,9282078.060784455
0078ce229,5189147.093747689
007a89d50,5189147.093747689
007d43dfa,5189147.093747689
007ee9e05,5826451.603130645
007ffeae2,5189147.093747689
00835c85c,5469554.418362394
0084b08f1,5189147.093747689
0087fb290,5189147.093747689
0088a96bd,5523200.821321714
008ac4292,5170087.696811817
008d8cca8,5189147.093747689
008e07b8c,5145631.770466055
008e5e25a,6432326.461191963
0094edcdb,6927068.19944032
00950141c,5399662.881701711
009566ef1,6682475.521006235
0095c81d4,5189147.093747689
0097a6ed4,5174047.259891596
0098fef9a,4724539.332442341
009b321ec,6399333.908746812
009cd681e,5189147.093747689
009f34f86,5189147.093747689
009f35cd3,5524913.426131006
009f65109,6361749.342194554
00a19014a,4249353.075686175
00a27e76a,4216723.888442064
00a3b6ef7,5125829.085123692
00a427603,5796042.749295169
00a6dc8be,5665589.276624631
00a811734,5672189.941464448
00a8f58a7,5189147.093747689
00aaae151,5189147.093747689
00ab17f67,5189147.093747689
00ac2d3a5,5189147.093747689
00adab1b6,7199143.239302345
00aef0d56,5189147.093747689
00b0b06c4,5084632.054598103
00b0e2303,6792236.358446184
00b1fbbc9,5068285.986144829
00b43e0c1,6633676.935762509
00b7190a8,5240468.018818634
00b722e1b,5045706.067675936
00bba815f,5419293.878844714
00bbb1c42,5189147.093747689
00bc2b665,5189147.093747689
00bc35689,6132821.024806239
00be23f52,8281533.887416339
00be24ac5,5795129.377307083
00bfd0f70,5107085.071021256
00c02f73e,5665107.752267532
00c08e5b3,5139547.208341537
00c8690ff,5519212.709753667
00c8df4d5,9086270.23399266
00c8e30de,5189147.093747689
00ca3fb04,9084140.931004882
00cabf621,5189147.093747689
00cb48ae3,5962814.973114141
00cb6b147,5234767.919595012
00cc91a22,6398026.027278315
00cd65e9d,6544026.837387768
00cd7d6a8,5692964.011957023
00cdc1483,5189147.093747689
00ce9bea5,6277872.4525281
00cea0091,7049153.1650862675
00cea68c6,5319376.294044828
00d5a5975,5189277.985657456
00d80a3a4,18006569.44541251
00d9f3864,4432573.799479334
00da4bd31,5884533.11907248
00df4dd77,5189147.093747689
00e1a55bf,5189147.093747689
00e332971,5189147.093747689
00e5b6b1b,5232890.838507409
00e85d5e3,5189147.093747689
00e90abfa,5174358.906611945
00e9708b4,5888585.589787846
00e9c680f,8917112.93943489
00eaa4394,5546485.578568618
00eae8832,6469068.915236221
00ebefdc0,5296311.2040324705
