ID,target
000137c73,17792783.91938509
00021489f,17850631.466197524
0004d7953,17190186.988854133
00056a333,17792783.91938509
00056d8eb,17850631.466197524
0005fc190,17850631.466197524
000787e86,17850631.466197524
0008510a0,17850631.466197524
000895faf,17850631.466197524
000986fba,13376151.127806487
0009efcc5,17792783.91938509
000dd8f00,17850631.466197524
000e1cdc2,17850631.466197524
00103739c,17850631.466197524
00134b367,17850631.466197524
001788d0d,14933168.094545892
0019c8ad7,17850631.466197524
001a267b9,14933168.094545892
001a85486,17850631.466197524
001c4de06,17740791.64953334
001f9014b,17850631.466197524
00216fb94,17850631.466197524
00235690e,17850631.466197524
00240739d,17850631.466197524
0024c3747,17850631.466197524
00297052d,17850631.466197524
002ab8f85,17850631.466197524
002bed5c0,17792783.91938509
002bf3974,18490447.04518957
002d23a26,17850631.466197524
002f27de9,17850631.466197524
0030d8bb4,17463870.74685934
003146acd,17850631.466197524
003223263,13135497.040575596
00335575e,17780630.803316403
00337cf9d,14727123.426025366
003394397,17850631.466197524
0036358a3,17850631.466197524
003770d30,17850631.466197524
003bed5ea,17850631.466197524
003ea6427,17780630.803316403
003ef8132,17792783.91938509
003fd1723,17792783.91938509
0041861b4,14933168.094545892
0042b718b,17850631.466197524
004381d8f,17190186.988854133
0043ca764,17740791.64953334
004486837,17363478.122505445
0045c123e,17780630.803316403
0048915c6,17850631.466197524
004ab9a09,15982066.89020433
004b2e1c9,13376151.127806487
004c54732,15575536.943779914
004cdefce,17850631.466197524
004dd971b,17190186.988854133
004f9329b,17850631.466197524
004fd2bca,17850631.466197524
0054bfedb,14727123.426025366
0054ec58a,17740791.64953334
00551f45d,13376151.127806487
005777b4c,17850631.466197524
00578d6ea,17850631.466197524
005802488,17740791.64953334
0059833b6,17780630.803316403
005a70085,17850631.466197524
005b148a0,17850631.466197524
005c28df4,17190186.988854133
005f8dc26,17918609.664433856
00603c202,17792783.91938509
006049609,17850631.466197524
00612f47e,17850631.466197524
00647a57f,17850631.466197524
0065853ee,17850631.466197524
006589d5e,17780630.803316403
006598823,17792783.91938509
0065c093c,14933168.094545892
006738351,17363478.122505445
006a0c6a8,14933168.094545892
006e9efe6,17924255.543704264
006f029d3,17850631.466197524
0070f35a2,17850631.466197524
007135f85,17850631.466197524
007285433,17924255.543704264
00735e101,17850631.466197524
0074ecf4e,17850631.466197524
007635fa9,17850631.466197524
007723613,17934950.774268117
007867da9,17850631.466197524
0078bfbd6,17924255.543704264
0078ce229,17850631.466197524
007a89d50,17850631.466197524
007d43dfa,17850631.466197524
007ee9e05,17800277.34251476
007ffeae2,17850631.466197524
00835c85c,17850631.466197524
0084b08f1,17850631.466197524
0087fb290,17850631.466197524
0088a96bd,13376151.127806487
008ac4292,14933168.094545892
008d8cca8,17850631.466197524
008e07b8c,17918609.664433856
008e5e25a,14933168.094545892
0094edcdb,17190186.988854133
00950141c,17850631.466197524
009566ef1,17924255.543704264
0095c81d4,17850631.466197524
0097a6ed4,17463870.74685934
0098fef9a,17792783.91938509
009b321ec,17924255.543704264
009cd681e,17850631.466197524
009f34f86,17850631.466197524
009f35cd3,17850631.466197524
009f65109,17740791.64953334
00a19014a,9687390.10200445
00a27e76a,17463870.74685934
00a3b6ef7,17850631.466197524
00a427603,14727123.426025366
00a6dc8be,17850631.466197524
00a811734,14933168.094545892
00a8f58a7,17850631.466197524
00aaae151,17850631.466197524
00ab17f67,17850631.466197524
00ac2d3a5,17850631.466197524
00adab1b6,17190186.988854133
00aef0d56,17850631.466197524
00b0b06c4,17780630.803316403
00b0e2303,17463870.74685934
00b1fbbc9,17850631.466197524
00b43e0c1,17792783.91938509
00b7190a8,17850631.466197524
00b722e1b,17740791.64953334
00bba815f,17850631.466197524
00bbb1c42,17850631.466197524
00bc2b665,17850631.466197524
00bc35689,17918609.664433856
00be23f52,17934950.774268117
00be24ac5,17850631.466197524
00bfd0f70,17463870.74685934
00c02f73e,17924255.543704264
00c08e5b3,17850631.466197524
00c8690ff,17850631.466197524
00c8df4d5,14060035.032659212
00c8e30de,17792783.91938509
00ca3fb04,18270242.02300262
00cabf621,17850631.466197524
00cb48ae3,14933168.094545892
00cb6b147,17850631.466197524
00cc91a22,18270242.02300262
00cd65e9d,17740791.64953334
00cd7d6a8,14933168.094545892
00cdc1483,17850631.466197524
00ce9bea5,9687390.10200445
00cea0091,17363478.122505445
00cea68c6,17850631.466197524
00d5a5975,17918609.664433856
00d80a3a4,24926866.82813559
00d9f3864,17363478.122505445
00da4bd31,17918609.664433856
00df4dd77,17850631.466197524
00e1a55bf,17850631.466197524
00e332971,17850631.466197524
00e5b6b1b,17463870.74685934
00e85d5e3,17850631.466197524
00e90abfa,17850631.466197524
00e9708b4,17850631.466197524
00e9c680f,18142071.388289545
00eaa4394,17850631.466197524
