ID,target
000137c73,7320000.0
00021489f,340000.0
0004d7953,6126333.334000001
00056a333,10119833.334
00056d8eb,840000.0
0005fc190,4689000.0
000787e86,6806933.334000001
0008510a0,1313600.0
000895faf,2755000.0
000986fba,8632333.334
0009efcc5,10047733.334
000dd8f00,340000.0
000e1cdc2,8115000.0
00103739c,2820000.0
00134b367,6627000.0
001788d0d,8140430.7700000005
0019c8ad7,6240000.0
001a267b9,4092575.758
001a85486,7440285.714
001c4de06,9910000.0
001f9014b,590700.0
00216fb94,4193333.3340000003
00235690e,5420000.0
00240739d,4469200.0
0024c3747,4420000.0
00297052d,11768885.714
002ab8f85,1420000.0
002bed5c0,5911333.334
002bf3974,4668200.0
002d23a26,549000.0
002f27de9,11780400.0
0030d8bb4,3156666.666
003146acd,500000.0
003223263,9426050.0
00335575e,9354000.0
00337cf9d,11582493.334
003394397,2153200.0
0036358a3,5786000.0
003770d30,12760000.0
003bed5ea,300800.0
003ea6427,7440100.0
003ef8132,6658200.0
003fd1723,13640000.0
0041861b4,4772400.0
0042b718b,4895400.0
004381d8f,5343333.334000001
0043ca764,4297600.0
004486837,12049500.0
0045c123e,3362200.0
0048915c6,2650533.334
004ab9a09,6101750.0
004b2e1c9,14504800.0
004c54732,3276733.334
004cdefce,1187400.0
004dd971b,11783060.0
004f9329b,1320000.0
004fd2bca,1091400.0
0054bfedb,5836520.0
0054ec58a,932500.0
00551f45d,14211852.38
005777b4c,11892700.0
00578d6ea,3600000.0
005802488,15101000.0
0059833b6,20600000.0
005a70085,8650000.0
005b148a0,360000.0
005c28df4,2605400.0
005f8dc26,12885400.0
00603c202,18968800.0
006049609,1701400.0
00612f47e,340000.0
00647a57f,4435200.0
0065853ee,340000.0
006589d5e,1371200.0
006598823,15255100.0
0065c093c,12897550.0
006738351,8398220.0
006a0c6a8,2980000.0
006e9efe6,20422000.0
006f029d3,340000.0
0070f35a2,5071400.0
007135f85,340000.0
007285433,8692200.0
00735e101,1795533.3339999996
0074ecf4e,2820000.0
007635fa9,2235000.0
007723613,8059000.0
007867da9,430000.0
0078bfbd6,5120589.286
0078ce229,340000.0
007a89d50,2800000.0
007d43dfa,4712800.0
007ee9e05,10512300.0
007ffeae2,11910000.0
00835c85c,7878700.0
0084b08f1,3329600.0
0087fb290,379600.0
0088a96bd,5055700.0
008ac4292,7771500.0
008d8cca8,1651733.33
008e07b8c,5631186.665999999
008e5e25a,8185500.0
0094edcdb,9092000.0
00950141c,4601400.0
009566ef1,5376866.665999999
0095c81d4,340000.0
0097a6ed4,3808000.0
0098fef9a,3999933.3340000003
009b321ec,12544333.334
009cd681e,7573700.0
009f34f86,2162000.0
009f35cd3,572000.0
009f65109,8994366.666
00a19014a,6977983.334000001
00a27e76a,2700933.334
00a3b6ef7,8409800.0
00a427603,5635350.0
00a6dc8be,2852200.0
00a811734,8936120.0
00a8f58a7,690000.0
00aaae151,2329800.0
00ab17f67,380000.0
00ac2d3a5,12699800.0
00adab1b6,5615500.0
00aef0d56,340000.0
00b0b06c4,5184000.0
00b0e2303,7123800.0
00b1fbbc9,6278783.334000001
00b43e0c1,5970000.0
00b7190a8,1400000.0
00b722e1b,2962636.364
00bba815f,10316500.0
00bbb1c42,1690000.0
00bc2b665,420000.0
00bc35689,11730000.0
00be23f52,4009800.0
